Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Coding_Scheme
2020-11-30, 13:28:52, 00:00:00, 0.000, 134.095, 134.953, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_132852.csv", "1", "Bed",, "1-5 seconds",,,,,,, State start, 1234, HCWtest
2020-11-30, 13:31:07, 00:02:14, 134.954, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_132852.csv", "1", "Bed",, "1-5 seconds",,,,,,, State stop, 1234, HCWtest
2020-11-30, 13:31:07, 00:02:14, 134.954, 18.077, 19.711, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_132852.csv", "1", "Patient",, "1-5 seconds",,,,,,, State start, 1234, HCWtest
2020-11-30, 13:31:27, 00:02:34, 154.665, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_132852.csv", "1", "Patient",, "1-5 seconds",,,,,,, State stop, 1234, HCWtest
2020-11-30, 13:31:27, 00:02:34, 154.665, 2.565, 5.090, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_132852.csv", "1", "Notes",, "1-5 seconds",,,,,,, State start, 1234, HCWtest
2020-11-30, 13:31:32, 00:02:39, 159.755, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_132852.csv", "1", "Notes",, "1-5 seconds",,,,,,, State stop, 1234, HCWtest
2020-11-30, 13:31:32, 00:02:39, 159.755, 37.263, 40.813, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_132852.csv", "1", "Patient",, "10-30 seconds ",,,,,,, State start, 1234, HCWtest
2020-11-30, 13:32:13, 00:03:20, 200.569, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_132852.csv", "1", "Patient",, "10-30 seconds ",,,,,,, State stop, 1234, HCWtest
2020-11-30, 13:32:13, 00:03:20, 200.569, 38.313, 38.947, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_132852.csv", "1", "Notes",, "1-5 seconds",,,,,,, State start, 1234, HCWtest
2020-11-30, 13:32:52, 00:03:59, 239.516, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_132852.csv", "1", "Notes",, "1-5 seconds",,,,,,, State stop, 1234, HCWtest
2020-11-30, 13:32:52, 00:03:59, 239.516, 9.687, 14.612, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_132852.csv", "1", "Patient",, "1-5 seconds",,,,,,, State start, 1234, HCWtest
2020-11-30, 13:33:07, 00:04:14, 254.128, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_132852.csv", "1", "Patient",, "1-5 seconds",,,,,,, State stop, 1234, HCWtest
2020-11-30, 13:33:07, 00:04:14, 254.128, 28.134, 29.909, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_132852.csv", "1", "Bed",, "10-30 seconds ",,,,,,, State start, 1234, HCWtest
2020-11-30, 13:33:37, 00:04:44, 284.037, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_132852.csv", "1", "Bed",, "10-30 seconds ",,,,,,, State stop, 1234, HCWtest
2020-11-30, 13:33:37, 00:04:44, 284.037, 22.335, 25.193, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_132852.csv", "1", "Patient",, "10-30 seconds ",,,,,,, State start, 1234, HCWtest
2020-11-30, 13:34:02, 00:05:09, 309.230, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_132852.csv", "1", "Patient",, "10-30 seconds ",,,,,,, State stop, 1234, HCWtest
2020-11-30, 13:34:02, 00:05:09, 309.230, 16.811, 20.320, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_132852.csv", "1", "Door",, "1-5 seconds",,,,,,, State start, 1234, HCWtest
2020-11-30, 13:34:22, 00:05:29, 329.549, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_132852.csv", "1", "Door",, "1-5 seconds",,,,,,, State stop, 1234, HCWtest
2020-11-30, 13:34:22, 00:05:29, 329.549, 18.978, 20.721, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_132852.csv", "1", "Sink",, "Over 30 seconds",,,,,,, State start, 1234, HCWtest
2020-11-30, 13:34:43, 00:05:50, 350.270, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_132852.csv", "1", "Sink",, "Over 30 seconds",,,,,,, State stop, 1234, HCWtest
