Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Coding_Scheme
2020-12-15, 09:33:58, 00:00:00, 0.000, 24.567, 26.274, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201215_093358.csv", "1", "Door",, "1-5 seconds",,,,,,, State start, 1234, HCWtest
2020-12-15, 09:34:24, 00:00:26, 26.275, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201215_093358.csv", "1", "Door",, "1-5 seconds",,,,,,, State stop, 1234, HCWtest
2020-12-15, 09:34:24, 00:00:26, 26.275, 14.153, 15.245, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201215_093358.csv", "1", "Patient",, "1-5 seconds",,,,,,, State start, 1234, HCWtest
2020-12-15, 09:34:40, 00:00:41, 41.520, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201215_093358.csv", "1", "Patient",, "1-5 seconds",,,,,,, State stop, 1234, HCWtest
2020-12-15, 09:34:40, 00:00:41, 41.520, 12.037, 17.477, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201215_093358.csv", "1", "Handrail",, "1-5 seconds",,,,,,, State start, 1234, HCWtest
2020-12-15, 09:34:57, 00:00:58, 58.997, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201215_093358.csv", "1", "Handrail",, "1-5 seconds",,,,,,, State stop, 1234, HCWtest
2020-12-15, 09:34:57, 00:00:58, 58.997, 26.765, 44.627, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201215_093358.csv", "1", "Sink",, "Over 30 seconds",,,,,,, State start, 1234, HCWtest
2020-12-15, 09:35:42, 00:01:43, 103.624, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201215_093358.csv", "1", "Sink",, "Over 30 seconds",,,,,,, State stop, 1234, HCWtest
2020-12-15, 09:35:42, 00:01:43, 103.624, 8.412, 12.132, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201215_093358.csv", "1", "Door",, "1-5 seconds",,,,,,, State start, 1234, HCWtest
2020-12-15, 09:35:54, 00:01:55, 115.756, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201215_093358.csv", "1", "Door",, "1-5 seconds",,,,,,, State stop, 1234, HCWtest
