"Transfer ID","TitleID","Title","Transfer Type","Relevant Task","Donor Surface","Surface Type","Donor Surface Contamination","Surface Loading Cat","SurfLoadBIo","SurfLoadSolLiq","Contamination  Units","Time Since Application","TimeSinceAppCat","TimeSinceAppBIO","TimeSinceAppLiq","Receiver","Contact Surface Area","Applied Contact Pressure","Type of Contact","Duration of Contact","Number of Contacts","Number of contacts Cat","Moistness of hand","MoistCat","Efficiency type","Substance ID","Number of Observations","Transfer Efficiency","Range of Efficiencies","Standard Deviation","Transfer Efficiency Source","Notes"
8,16,"Role of Infectious Secretions in the Transmission of Rhinovirus",2,"Opening Door","Door Knob","Smooth",13,NA,NA,NA,"PFU/object",10,"0 - 60","0 - 60 minutes",NA,"Finger",NA,NA,2,NA,1,"1",NA,NA,2,15,1,23,NA,NA,2,NA
10,16,"Role of Infectious Secretions in the Transmission of Rhinovirus",2,"Opening Door","Door Knob","Smooth",37,NA,NA,NA,"PFU/object",10,"0 - 60","0 - 60 minutes",NA,"Finger",NA,NA,2,NA,1,"1",NA,NA,2,2,1,100,NA,NA,2,NA
11,16,"Role of Infectious Secretions in the Transmission of Rhinovirus",2,"Opening Door","Door Knob","Smooth",1200,NA,NA,NA,"PFU/object",10,"0 - 60","0 - 60 minutes",NA,"Finger",NA,NA,2,NA,1,"1",NA,NA,2,2,1,6,NA,NA,2,NA
12,16,"Role of Infectious Secretions in the Transmission of Rhinovirus",2,"Opening Door","Door Knob","Smooth",3000,NA,NA,NA,"PFU/object",10,"0 - 60","0 - 60 minutes",NA,"Finger",NA,NA,2,NA,1,"1",NA,NA,2,2,1,60,NA,NA,2,NA
13,16,"Role of Infectious Secretions in the Transmission of Rhinovirus",2,"Turning Faucet","Faucet","Smooth",27,NA,NA,NA,"PFU/object",10,"0 - 60","0 - 60 minutes",NA,"Finger",NA,NA,3,NA,1,"1",NA,NA,2,2,1,14,NA,NA,2,NA
14,16,"Role of Infectious Secretions in the Transmission of Rhinovirus",2,"Turning Faucet","Faucet","Smooth",37,NA,NA,NA,"PFU/object",10,"0 - 60","0 - 60 minutes",NA,"Finger",NA,NA,3,NA,1,"1",NA,NA,2,2,1,19,NA,NA,2,NA
15,16,"Role of Infectious Secretions in the Transmission of Rhinovirus",9,"None","Skin","Skin",107,NA,NA,NA,"PFU/object",0,"0 - 60","0 - 60 minutes",NA,"Finger",NA,NA,1,NA,1,"1",NA,NA,1,2,1,6,NA,NA,2,NA
17,16,"Role of Infectious Secretions in the Transmission of Rhinovirus",9,"None","Skin","Skin",600,NA,NA,NA,"PFU/object",0,"0 - 60","0 - 60 minutes",NA,"Finger",NA,NA,1,NA,1,"1",NA,NA,1,2,1,8,NA,NA,2,NA
18,16,"Role of Infectious Secretions in the Transmission of Rhinovirus",9,"None","Skin","Skin",3600,NA,NA,NA,"PFU/object",0,"0 - 60","0 - 60 minutes",NA,"Finger",NA,NA,1,NA,1,"1",NA,NA,1,2,1,1,NA,NA,2,NA
19,16,"Role of Infectious Secretions in the Transmission of Rhinovirus",9,"None","Skin","Skin",267,NA,NA,NA,"PFU/object",0,"0 - 60","0 - 60 minutes",NA,"Finger",NA,NA,1,NA,1,"1",NA,NA,1,2,1,9,NA,NA,2,NA
20,16,"Role of Infectious Secretions in the Transmission of Rhinovirus",9,"None","Skin","Skin",930,NA,NA,NA,"PFU/object",0,"0 - 60","0 - 60 minutes",NA,"Finger",NA,NA,1,NA,1,"1",NA,NA,1,2,1,4,NA,NA,2,NA
21,16,"Role of Infectious Secretions in the Transmission of Rhinovirus",9,"None","Skin","Skin",40,NA,NA,NA,"PFU/object",0,"0 - 60","0 - 60 minutes",NA,"Finger",NA,NA,1,NA,1,"1",NA,NA,1,2,1,10,NA,NA,2,NA
22,16,"Role of Infectious Secretions in the Transmission of Rhinovirus",9,"None","Skin","Skin",120,NA,NA,NA,"PFU/object",0,"0 - 60","0 - 60 minutes",NA,"Finger",NA,NA,1,NA,1,"1",NA,NA,1,2,1,4,NA,NA,2,NA
23,16,"Role of Infectious Secretions in the Transmission of Rhinovirus",9,"None","Skin","Skin",77,NA,NA,NA,"PFU/object",0,"0 - 60","0 - 60 minutes",NA,"Finger",NA,NA,1,NA,1,"1",NA,NA,1,2,1,2,NA,NA,2,NA
24,10,"Evolution of Efficient Methods to Sample Lead Sources, Such as House Dust and Hand Dust, in the Homes of Children",2,"None","Plastic Petri Dish","Smooth",250,">1 mg/cm2",NA,">1 mg/cm2","mg/cm2",0,NA,NA,NA,"Palm",20,NA,1,NA,1,"1",NA,NA,1,1,1,0.5,NA,NA,1,"does not appear that hand contacted surface of petri dish. Instead was placed over rim of dish (to make a seal) and then inverted"
26,10,"Evolution of Efficient Methods to Sample Lead Sources, Such as House Dust and Hand Dust, in the Homes of Children",2,"None","Plastic Petri Dish","Smooth",250,">1 mg/cm2",NA,">1 mg/cm2","mg/cm2",0,NA,NA,NA,"Palm",20,NA,1,NA,1,"1",NA,NA,1,3,1,0.2,NA,NA,1,"does not appear that hand contacted surface of petri dish. Instead was placed over rim of dish (to make a seal) and then inverted"
27,10,"Evolution of Efficient Methods to Sample Lead Sources, Such as House Dust and Hand Dust, in the Homes of Children",2,"None","Plastic Petri Dish","Smooth",250,">1 mg/cm2",NA,">1 mg/cm2","mg/cm2",0,NA,NA,NA,"Palm",20,NA,1,NA,1,"1",NA,NA,1,4,1,0.8,NA,NA,1,"does not appear that hand contacted surface of petri dish. Instead was placed over rim of dish (to make a seal) and then inverted"
28,10,"Evolution of Efficient Methods to Sample Lead Sources, Such as House Dust and Hand Dust, in the Homes of Children",2,"None","Plastic Petri Dish","Smooth",250,">1 mg/cm2",NA,">1 mg/cm2","mg/cm2",0,NA,NA,NA,"Palm",20,NA,1,NA,1,"1",NA,NA,1,5,1,0.8,NA,NA,1,"does not appear that hand contacted surface of petri dish. Instead was placed over rim of dish (to make a seal) and then inverted"
29,10,"Evolution of Efficient Methods to Sample Lead Sources, Such as House Dust and Hand Dust, in the Homes of Children",2,"None","Plastic Petri Dish","Smooth",250,">1 mg/cm2",NA,">1 mg/cm2","mg/cm2",0,NA,NA,NA,"Palm",20,NA,1,NA,1,"1",NA,NA,1,6,1,0.2,NA,NA,1,"does not appear that hand contacted surface of petri dish. Instead was placed over rim of dish (to make a seal) and then inverted"
